Years	Count
2026	3
2025	275
2024	436
2023	432
2022	414
2021	371
2020	388
2019	376
2018	344
2017	291
2016	282
2015	280
2014	192
2013	202
2012	187
2011	183
2010	161
2009	159
2008	155
2007	116
2006	140
2005	100
2004	86
2003	88
2002	83
2001	73
2000	52
1999	57
1998	49
1997	44
1996	25
1995	28
1994	24
1993	17
1992	21
1991	14
1990	13
1989	22
1988	20
1987	21
1986	21
1985	6
1984	9
1983	6
1982	4
1981	3
1980	3
1979	3
1978	3
1976	2
1975	2
1974	6
1973	2
1972	3
1965	1
